Template Net Juniper SNMPv2	Hosts	Applications 9	Items 15	Triggers 7	Graphs	Screens	Discovery 6	Web	Template Module EtherLike-MIB SNMPv2, Template Module Generic SNMPv2, Template Module Interfaces SNMPv2		
Template Net Mellanox SNMPv2	Hosts	Applications 11	Items 11	Triggers 5	Graphs	Screens	Discovery 8	Web	Template Module Generic SNMPv2, Template Module HOST-RESOURCES-MIB SNMPv2, Template Module Interfaces SNMPv2		
Template Net Mikrotik SNMPv2	Hosts	Applications 8	Items 19	Triggers 11	Graphs 1	Screens	Discovery 4	Web	Template Module Generic SNMPv2, Template Module Interfaces SNMPv2		
Template Net Netgear Fastpath SNMPv2	Hosts	Applications 9	Items 18	Triggers 8	Graphs 2	Screens	Discovery 4	Web	Template Module Generic SNMPv2, Template Module Interfaces SNMPv2		
Template Net Network Generic Device SNMPv1	Hosts	Applications 3	Items 11	Triggers 5	Graphs	Screens	Discovery 2	Web	Template Module EtherLike-MIB SNMPv1, Template Module Generic SNMPv1, Template Module Interfaces Simple SNMPv1		
Template Net Network Generic Device SNMPv2	Hosts	Applications 3	Items 11	Triggers 5	Graphs	Screens	Discovery 2	Web	Template Module EtherLike-MIB SNMPv2, Template Module Generic SNMPv2, Template Module Interfaces Simple SNMPv2		
Template Net QTech QSW SNMPv2	Hosts	Applications 6	Items 20	Triggers 9	Graphs 2	Screens	Discovery 2	Web	Template Module EtherLike-MIB SNMPv2, Template Module Generic SNMPv2, Template Module Interfaces SNMPv2		
Template Net TP-LINK SNMPv2	Hosts	Applications 6	Items 15	Triggers 7	Graphs	Screens	Discovery 3	Web	Template Module Generic SNMPv2, Template Module Interfaces Simple SNMPv2		
Template Net Ubiquiti AirOS SNMPv1	Hosts	Applications 6	Items 17	Triggers 8	Graphs 2	Screens	Discovery 1	Web	Template Module Generic SNMPv1, Template Module Interfaces Simple SNMPv1		
Template OpenVPN prosess monitoring	Hosts 3	Applications 2	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
Template OS - Windows - Event 2072	Hosts 4	Applications 1	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
Template OS - Windows events PCI DSS	Hosts 2	Applications 1	Items 34	Triggers	Graphs	Screens	Discovery	Web			
Template OS AIX	Hosts	Applications 11	Items 42	Triggers 12	Graphs 4	Screens 1	Discovery 2	Web	Template App Zabbix Agent		
Template OS Debian linux	Hosts 66	Applications 11	Items 55	Triggers 34	Graphs 7	Screens	Discovery 2	Web	Template OS Linux		
Template OS FreeBSD	Hosts	Applications 10	Items 29	Triggers 14	Graphs 5	Screens 1	Discovery 2	Web	Template App Zabbix Agent		
Template OS HP-UX	Hosts	Applications 10	Items 17	Triggers 8	Graphs 3	Screens 1	Discovery 2	Web	Template App Zabbix Agent		
Template OS Linux	Hosts 234	Applications 11	Items 55	Triggers 34	Graphs 7	Screens 1	Discovery 2	Web	Template App Zabbix Agent, Template Linux Ymse, Template Module ICMP Ping	Infopi, Template OS Debian linux	
Template OS Linux pwapi.service	Hosts 2	Applications 2	Items 1	Triggers 2	Graphs	Screens	Discovery	Web			
Template OS Linux pwproxy	Hosts 2	Applications 1	Items 1	Triggers 2	Graphs	Screens	Discovery	Web			
Template OS Linux SNMPv2	Hosts	Applications 7	Items 11	Triggers 5	Graphs	Screens	Discovery 5	Web	Template Module EtherLike-MIB SNMPv2, Template Module Generic SNMPv2, Template Module HOST-RESOURCES-MIB SNMPv2, Template Module Interfaces SNMPv2		
Template OS Linux wsapi.service	Hosts 2	Applications 2	Items 1	Triggers 2	Graphs	Screens	Discovery	Web			
Template OS Linux wsapi.service - test	Hosts 2	Applications 2	Items 1	Triggers 2	Graphs	Screens	Discovery	Web			
Template OS Mac OS X	Hosts	Applications 10	Items 19	Triggers 11	Graphs 3	Screens 1	Discovery 1	Web	Template App Zabbix Agent		
Template OS OpenBSD	Hosts	Applications 10	Items 29	Triggers 14	Graphs 5	Screens 1	Discovery 2	Web	Template App Zabbix Agent		
Template OS Solaris	Hosts	Applications 10	Items 27	Triggers 14	Graphs 5	Screens 1	Discovery 2	Web	Template App Zabbix Agent		
Template OS Windows	Hosts 130	Applications 11	Items 24	Triggers 13	Graphs 3	Screens 1	Discovery 4	Web	Template App Zabbix Agent, Template Module ICMP Ping		
Template OS Windows - Service mal for enkelt service eller applikasjon	Hosts	Applications 1	Items 3	Triggers 3	Graphs	Screens	Discovery	Web			
Template OS Windows - Services uten varsling	Hosts	Applications 1	Items	Triggers	Graphs	Screens	Discovery 1	Web			
Template OS Windows SNMPv2	Hosts	Applications 7	Items 11	Triggers 5	Graphs	Screens	Discovery 4	Web	Template Module Generic SNMPv2, Template Module HOST-RESOURCES-MIB SNMPv2, Template Module Interfaces Windows SNMPv2		
Template Process Test mongod	Hosts	Applications	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
Template Process Test mysqld	Hosts	Applications	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
Template Process Test postgres	Hosts 2	Applications	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
Template radius servers	Hosts 2	Applications 1	Items 2	Triggers 1	Graphs	Screens	Discovery	Web			
Template radsecproxy servers	Hosts 2	Applications 1	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
Template RDP monitorering	Hosts 2	Applications 1	Items 6	Triggers 2	Graphs 7	Screens 1	Discovery	Web			
Template Server Dell iDRAC SNMPv2	Hosts 33	Applications 9	Items 16	Triggers 10	Graphs	Screens	Discovery 8	Web	Template Module Generic SNMPv2		
Template Server HP iLO SNMPv2	Hosts	Applications 9	Items 15	Triggers 8	Graphs	Screens	Discovery 12	Web	Template Module Generic SNMPv2		
